0.001358	2.7
0.0014	2.7
0.00183	2.8
0.001071	3.0
0.00308	4.3
0.001429	6.3312
0.001458	6.4598
0.00518	8.0
0.00131	8.0
0.005	8.0
0.001825	8.0881
0.001861	8.2479
0.002425	9.0
0.003662	9.0
0.0019	9.0
0.002031	9.0025
0.002992	9.9
0.00482	10.0
0.00206	10.0
0.002305	10.219
0.002388	10.588
0.007609	11.0
0.0033	11.0
0.0025	11.1
0.0022	11.2
0.00149	11.4
0.002597	11.516
0.0027	12.0
0.004	12.0
0.0057	12.0
0.006031	12.3
0.005791	12.6
0.005871	12.6
0.005508	12.6
0.005871	12.6
0.005871	12.6
0.002843	12.61
0.0013	13.0
0.002939	13.036
0.002128	13.1
0.0021	13.1
0.00312	13.5
0.00312	13.6
0.0031	13.8
0.003129	13.881
0.004316	14.0
0.00316	14.0
0.0032	14.2
0.0032	14.2
0.003809	14.6
0.002432	14.7
0.003319	14.726
0.00346	15.0
0.003468	15.389
0.003502	15.54
0.00554	15.7
0.003559	15.794
0.00524	16.0
0.005417	16.0
0.0036	16.0
0.00897	16.0
0.00503	16.0
0.0092	16.0
0.00362	16.07
0.003639	16.15
0.00394	16.6
0.00436	16.7
0.00318	17.0
0.0035	17.0
0.00318	17.0
0.003843	17.058
0.003856	17.116
0.003889	17.263
0.003896	17.294
0.003539	17.5
0.00312	17.5
0.00421	17.5
0.0033	17.5
0.003999	17.752
0.003999	17.752
0.003729	17.8
0.00433	18.0
0.004	18.0
0.0038	18.0
0.00412	18.0
0.003916	18.0
0.004069	18.064
0.006494	18.1
0.00414	18.38
0.004243	18.839
0.005464	19.0
0.006721	19.0
0.00477	19.0
0.006616	19.0
0.0222	19.0
0.00514	19.0
0.0058	19.0
0.00482	19.0
0.0049	19.0
0.005344	19.0
0.0043	19.1
0.0044	19.5
0.003399	19.7
0.004483	19.908
0.006941	20.0
0.006211	20.0
0.004623	20.0
0.009211	20.0
0.00507	20.0
0.00452	20.07
0.003699	20.7
0.005601	20.7
0.00467	20.74
0.00689	21.0
0.007122	21.0
0.0068	21.0
0.0056	21.0
0.0049	21.8
0.00413	22.0
0.00729	22.0
0.0055	22.0
0.003749	22.0
0.005	22.0
0.00497	22.08
0.005027	22.333
0.00424	22.4
0.00424	22.4
0.005077	22.556
0.005101	22.663
0.005124	22.766
0.006541	23.0
0.00461	23.0
0.0052	23.1
0.005247	23.315
0.005274	23.435
0.005365	23.841
0.0054	24.0
0.00414	24.0
0.009316	24.0
0.00568	24.0
0.0054	24.0
0.00541	24.04
0.005534	24.595
0.005554	24.685
0.005594	24.863
0.0056	24.9
0.005624	24.997
0.006461	25.0
0.0072	25.0
0.0066	25.0
0.0058	25.0
0.005651	25.118
0.005801	25.787
0.0058	25.8
0.005838	25.952
0.005839	25.957
0.00609	26.0
0.00452	26.0
0.007318	26.0
0.004266	26.5
0.006046	26.881
0.00488	27.0
0.00529	27.0
0.00514	27.0
0.00681	27.0
0.006	27.0
0.006	27.0
0.005981	27.0
0.0073	27.0
0.02923	27.0
0.006	27.0
0.006	27.0
0.0075	27.0
0.006102	27.132
0.006151	27.35
0.006174	27.453
0.006178	27.471
0.00624	27.75
0.006287	27.958
0.007929	28.0
0.007935	28.0
0.0063	28.0
0.0073	28.0
0.0082	28.0
0.006398	28.454
0.00647	28.78
0.006494	28.883
0.0065	28.9
0.0065	28.9
0.007679	29.0
0.0059	29.0
0.007469	29.0
0.006531	29.048
0.006535	29.066
0.006631	29.496
0.006721	29.898
0.006561	30.0
0.006861	30.0
0.008309	30.0
0.00758	30.0
0.0063	30.0
0.006758	30.063
0.006758	30.063
0.0068	30.3
0.00686	30.52
0.00897	31.0
0.007	31.0
0.007935	31.0
0.007	31.0
0.007	31.0
0.007035	31.302
0.007125	31.705
0.007125	31.705
0.007145	31.794
0.007152	31.826
0.007132	32.0
0.00665	32.0
0.0076	32.0
0.0076	32.0
0.006831	32.0
0.011	32.0
0.0072	32.0
0.0082	32.0
0.0093	32.0
0.0073	32.5
0.007368	32.792
0.007388	32.882
0.0074	32.9
0.0074	32.9
0.007412	32.989
0.006381	33.0
0.00829	33.0
0.007899	33.0
0.0084	33.0
0.0086	33.0
0.00884	33.3
0.007589	33.781
0.0076	33.8
0.0076	33.8
0.007595	33.808
0.007599	33.826
0.007612	33.884
0.00944	34.0
0.008569	34.0
0.01061	34.0
0.008889	34.0
0.007679	34.184
0.007722	34.377
0.007755	34.525
0.0078	34.7
0.0074	35.0
0.0093	35.0
0.01	35.0
0.008579	35.0
0.0086	35.0
0.008579	35.0
0.007952	35.407
0.008029	35.752
0.008	36.0
0.0081	36.1
0.008112	36.124
0.008179	36.424
0.008246	36.724
0.00948	37.0
0.009393	37.0
0.00948	37.0
0.0074	37.0
0.008459	37.0
0.008359	37.0
0.012	37.0
0.00948	37.0
0.0095	37.0
0.008382	37.334
0.01057	37.4
0.008406	37.441
0.008483	37.787
0.008529	37.993
0.00937	38.0
0.015013	38.0
0.007235	38.0
0.00904	38.0
0.0097	38.0
0.0091	38.0
0.008544	38.06
0.01158	38.1
0.0086	38.3
0.00941	38.4
0.0094	38.4
0.00864	38.49
0.008663	38.594
0.008673	38.638
0.008673	38.638
0.008733	38.908
0.008736	38.921
0.0104	39.0
0.010404	39.0
0.0088	39.0
0.0088	39.2
0.008799	39.204
0.008906	39.683
0.008923	39.76
0.009	40.0
0.009	40.0
0.009	40.0
0.009	40.0
0.009	40.0
0.016	40.0
0.009	40.0
0.009	40.0
0.00908	40.46
0.0095	40.6
0.00917	40.87
0.00918	40.91
