"Name","Disc. Date","Host Name","z","dL (Mpc)","Type"
"SN1999ce","1999/05/16","A112851+5708","0.07748,0.078","362.74","Ia"
"SN2013bx","2013/04/09","A124724+3232","0.0775,0.166","362.8","Ia"
"SN2021bsy","2021/02/04","","0.077564","363.151","Ia"
"SDSS-II SN 10524","2005/11/02","SDSS J34355.84+003504.3","0.0776","363.3","Ia"
"SN1993aj","1993/12/27","2MFGC 09481","0.0776","363.3","Ia"
"SN2005lj","2005/11/07","SDSS J15743.11-001045.9","0.07775,0.077649","363.571","Ia"
"AT2019bik","2019/02/24","","0.077683","363.738","Ia"
"SN2021cob","2021/02/08","","0.077687","363.758","Ia-02cx"
"PTF11qrv","2011/11/28","","0.0778","364.3","Ia"
"SN2020itn","2020/05/01","","0.077837","364.498","Ia-91T"
"SN2019kcj","2019/06/30","","0.077846","364.542","Ia-91T"
"SN2018isv","2018/11/03","2MASX J09384339+0904599","0.077868","364.651","Ia"
"SDSS-SN-109","2001/10/27","","0.077895","364.784","Ia"
"SNF20080610-000","2008/06/10","","0.0779","364.8","Ia"
"PTF10abwy","2010/12/02","","0.078","365","Ia"
"SN2016enx","2016/08/01","","0.078","365","Ia"
"SN2018ldw","2018/12/29","","0.078","365","Ia"
"PS15ctg","2015/11/02","","0.078","365","Ia"
"SN2018akm","2018/03/21","","0.078","365","Ia Pec"
"SN2017yd","2017/01/23","2MASX J10555917+1155036","0.078","365","Ia"
"SN2020xif","2020/10/10","","0.078","365","Ia"
"PTF10qfo","2010/07/23","","0.078","365","Ia"
"SN2021yle","2021/09/09","","0.078","365","Ia"
"SN2001ks","2001/04/18","A075646+3659","0.078,0.078","365","Ia"
"SN2009hc","2009/04/23","A225026+1054","0.078","365","Ia"
"iPTF14evz","2014/09/10","","0.078","365","Ia"
"LSQ12hxn","2012/12/24","","0.078","365","Ia"
"LSQ14hq","2014/01/20","","0.078","365","Ia"
"PTF12ilb","2012/09/06","","0.078","365","Ia"
"PTF13ebn","2013/11/14","","0.078","365","Ia"
"SN2010R","2010/01/15","A121710+2539","0.078,0.078","365","Ia"
"SN2012dm","2012/06/27","A141346+5213","0.078","365","Ia"
"SN2015by","2015/08/05","","0.078","365","Ia"
"SN2019afa","2019/01/24","","0.078","365","Ia"
"SN2019ana","2019/02/03","","0.078","365","Ia"
"SN2019ibf","2019/06/20","","0.078","365","Ia"
"SN2019kzc","2019/07/10","","0.078","365","Ia"
"SN2019lop","2019/07/10","","0.078","365","Ia"
"SN2019tyw","2019/11/02","","0.078","365","Ia"
"SN2019uyw","2019/11/07","","0.078","365","Ia"
"SN2020aaeu","2020/11/15","","0.078","365","Ia"
"SN2020abli","2020/12/02","","0.078","365","Ia"
"SN2020krw","2020/05/21","","0.078","365","Ia"
"SN2020kzn","2020/05/22","","0.078","365","Ia"
"SN2020ntk","2020/06/27","","0.078","365","Ia"
"SN2020qil","2020/07/27","","0.078","365","Ia"
"SN2020qnl","2020/07/23","","0.078","365","Ia"
"SN2020sbx","2020/08/26","","0.078","365","Ia"
"SN2020vgk","2020/10/06","","0.078,0.079","365","Ia"
"SN2020yfc","2020/10/25","","0.078","365","Ia"
"SN2021dqo","2021/02/19","","0.078","365","Ia"
"SN2021nir","2021/05/19","","0.078","365","Ia"
"SN2021wkf","2021/08/08","","0.078","365","Ia"
"SN2021yfh","2021/09/05","","0.078","365","Ia"
"SN2017iln","2017/11/17","","0.078","365","Ia"
"SDSS2603-54479-486","2008/01/14","","0.078","365","Ia"
"iPTF13ebn","2013/11/29","","0.078","365","Ia"
"SNF20060526-003","2006/05/26","","0.07795","365.06","Ia"
"SN2013cp","2013/05/07","A161952+3856","0.077952","365.065","Ia"
"SN2018jsu","2018/12/09","","0.077958","365.095","Ia"
"PTF09hpl","2009/12/31","","0.0781,0.0781","365.8","Ia"
"SN2018jsv","2018/12/09","MCG +07-23-31","0.078214","366.358","Ia"
"PTF11qpg","2011/11/26","","0.0783","366.8","Ia"
"SN2019bas","2019/02/24","SDSS J162651.99+2923","0.078316","366.861","Ia"
"PTF10gnj","2010/05/01","","0.07832","366.88","Ia"
"SN2019bnh","2019/02/27","","0.078344","366.999","Ia"
"SN2020adlp","2020/12/20","","0.078466","367.602","Ia"
"SDSS-SN-077","2008/01/14","","0.078499","367.765","Ia"
"SN2020acwp","2020/12/16","","0.078525","367.893","Ia"
"SN2019lve","2019/07/19","","0.0786","368.3","Ia"
"PTF11rem","2011/12/08","","0.0787","368.8","Ia"
"SN2018iqk","2018/11/16","","0.078738","368.945","Ia"
"SN2018hux","2018/11/01","","0.078778","369.142","Ia"
"SN2019ode","2019/08/19","","0.0788","369.3","Ia"
"PTF09ifh","2009/12/19","","0.0788","369.3","Ia"
"SN2019cyy","2019/04/02","KUG 1200+385A","0.078818","369.34","Ia"
"SN2020cox","2020/02/07","","0.07882","369.35","Ia"
"SN2019ywq","2019/12/27","","0.078847","369.483","Ia"
"SN2006iq","2006/09/23","A213933+1029","0.07885,0.08","369.5","Ia"
"SN2021bnv","2021/02/03","","0.078866","369.577","Ia"
