"Name","Disc. Date","Host Name","z","dL (Mpc)","Type"
"SN1972E","1972/05/06","NGC 5253","0.001358","2.7","Ia"
"SN1895B","1895/07/07","NGC 5253","0.0014","2.7","Ia"
"SN1986G","1986/05/03","NGC 5128","0.00183,0.000848,0.00103","2.8","Ia-91bg"
"SN1937C","1937/08/16","IC 4182","0.001071,0.001071","3","Ia"
"SN1983N","1983/07/03","NGC 5236","0.00308,0.00321,0.00171","4.3","Ib"
"SN2021abt","2021/01/10","LEDA 1022096","0.001429","6.3312","Ia"
"SN2012cg","2012/05/17","NGC 4424","0.001458","6.4598","Ia"
"SN1937D","1937/09/09","NGC 1003","0.00518","8","Ia"
"SN1971I","1971/05/24","NGC 5055","0.00131,0.00344","8","Ia"
"SN2010el","2010/06/19","NGC 1566","0.005,0.005","8","Ia-02cx"
"SN2021qvv","2021/06/23","NGC 4442","0.001825","8.0881","Ia"
"SN2021hcz","2021/03/24","NGC 1400","0.001861,0.001769","8.2479","Ia"
"SN1989B","1989/01/30","NGC 3627","0.002425","9","Ia"
"SN2010ae","2010/02/22","ESO 162-G17","0.003662","9","Ia-02cx"
"SN1960H","1960/06/18","NGC 4096","0.0019","9","Ia"
"SN2013hg","2013/12/10","A120955+2953","0.002031","9.0025","Ia"
"SN1998bu","1998/05/09","NGC 3368","0.002992","9.9","Ia"
"SN1965I","1965/06/18","NGC 4753","0.00482,0.00525,0.00568","10","Ia"
"SN1983G","1983/04/04","NGC 4753","0.00206,0.00375,0.00412,0.00432,0.00618","10","Ia"
"SN2020ukx","2020/09/28","NGC 2784","0.002305","10.219","Ia"
"SN2021J","2021/01/01","NGC 4414","0.002388","10.588","Ia"
"SN1999cl","1999/05/29","NGC 4501","0.007609","11","Ia"
"SN1993af","1993/11/15","NGC 1808","0.0033","11","Ia"
"SN2005ew","2005/10/04","NSF J033923.74+350249.0","0.0025","11.1","Ia"
"SN1966J","1966/12/20","NGC 3198","0.0022","11.2","Ia"
"SN1994D","1994/03/07","NGC 4526","0.00149,0.00233,0.00253,0.00328,0.00149,0.00366,0.00389,0.00394,0.00412,0.00432","11.4","Ia"
"SN2020rcq","2020/08/09","UGC 6930","0.002597,0.002592","11.516","Ia"
"SN2006E","2006/01/12","NGC 5338","0.0027,0.002686","12","Ia"
"SN1999gs","1999/12/28","NGC 4725","0.004","12","Ia"
"SN2003if","2003/09/20","NGC 1302","0.0057","12","Ia"
"SN1981B","1981/03/02","NGC 4536","0.006031","12.3","Ia"
"SN1991T","1991/04/13","NGC 4527","0.005791,0.005791","12.6","Ia-91T"
"SN1980N","1980/12/07","NGC 1316","0.005871","12.6","Ia"
"SN2006mr","2006/11/05","NGC 1316","0.005508,0.005508","12.6","Ia Pec"
"SN1981D","1981/03/01","NGC 1316","0.005871","12.6","Ia"
"SN2006dd","2006/06/19","NGC 1316","0.005871","12.6","Ia"
"SN2011by","2011/04/26","NGC 3972","0.002843","12.61","Ia"
"SN1963I","1963/05/14","NGC 4178","0.0013","13","Ia"
"SN2020nvb","2020/07/01","NGC 4457","0.002939","13.036","Ia"
"SN1999by","1999/04/30","NGC 2841","0.002128","13.1","Ia Pec"
"SN1957A","1957/02/26","NGC 2841","0.0021","13.1","Ia"
"SN1939A","1939/01/17","NGC 4636","0.00312","13.5","Ia"
"SN1960F","1960/04/17","NGC 4496A","0.00312,0.00323,0.00337,0.00341,0.00398","13.6","Ia"
"SN2018pv","2018/02/03","NGC 3941","0.0031","13.8","Ia"
"SN2020ue","2020/01/12","NGC 4636","0.003129","13.881","Ia"
"SN2005df","2005/08/04","NGC 1559","0.004316","14","Ia"
"SN1996ai","1996/06/16","NGC 5005","0.00316,0.00316,0.00373","14","Ia"
"SN2006mq","2006/10/22","ESO 494-G26","0.0032","14.2","Ia"
"SN2020ufe","2020/09/25","","0.0032","14.2","Ia"
"SN1961H","1961/05/02","NGC 4564","0.003809,0.003809,0.00312,0.00518","14.6","Ia"
"SN1960R","1960/12/20","NGC 4382","0.002432","14.7","Ia"
"SN2021hiz","2021/03/30","IC 3322A","0.003319","14.726","Ia"
"SN2001el","2001/09/17","NGC 1448","0.00346,0.00364,0.00391,0.00405,0.00514,0.00536","15","Ia"
"SN2016ija","2016/11/22","NGC 1532","0.003468","15.389","Ia-91T"
"SN2021rhu","2021/07/01","NGC 7814","0.003502","15.54","Ia"
"SN1964E","1964/03/12","MCG +09-20-51","0.00554","15.7","Ia"
"SN2012ht","2012/12/18","NGC 3447","0.003559","15.794","Ia"
"SN2006X","2006/02/04","NGC 4321","0.00524,0.006322,0.00524,0.00357,0.00633","16","Ia"
"SN2007sr","2007/12/18","NGC 4038","0.005417","16","Ia"
"SN2020nlb","2020/06/25","M85","0.0036","16","Ia"
"SN1975A","1975/01/15","NGC 2207","0.00897,0.0105","16","Ia"
"SN2006ce","2006/05/10","NGC 908","0.00503","16","Ia"
"SN1999ec","1999/10/02","NGC 2207","0.0092","16","Ia/c"
"PSc100405","2010/11/24","","0.00362,0.104","16.07","Ia"
"SN2020qxp","2020/08/08","NGC 5002","0.003639","16.15","Ia"
"SN1974G","1974/04/20","NGC 4414","0.00394,0.00396,0.00425,0.00484","16.6","Ia"
"SN1963P","1963/09/18","NGC 1084","0.00436,0.00949","16.7","Ia"
"SN1979B","1979/02/28","NGC 3913","0.00318,0.0032,0.0048","17","Ia"
"SN2001dp","2001/08/12","NGC 3953","0.0035","17","Ia"
"SN1963J","1963/05/18","NGC 3913","0.00318,0.0105","17","Ia"
"SN2013ct","2013/05/10","NGC 428","0.003843","17.058","Ia"
"asassn-14lp","2014/12/09","NGC 4666","0.003856","17.116","Ia"
"SN2013dy","2013/07/10","NGC 7250","0.003889","17.263","Ia"
"SN2021pit","2021/06/10","NGC 1448","0.003896","17.294","Ia"
"SN1991bg","1991/12/03","NGC 4374","0.003539","17.5","Ia Pec"
"SN1957B","1957/04/23","NGC 4374","0.00312,0.00375,0.00434,0.00659","17.5","Ia"
"SN1992A","1992/01/11","NGC 1380","0.00421,0.00626,0.00473,0.00545,0.00548,0.00421","17.5","Ia"
"SN1980I","1980/06/13","NGC 4374","0.0033","17.5","Ia"
"SN2013aa","2013/02/13","NGC 5643","0.003999","17.752","Ia"
"SN2017cbv","2017/03/10","NGC 5643","0.003999","17.752","Ia"
"SN2004W","2004/01/28","NGC 4649","0.003729","17.8","Ia"
"SN1967C","1967/02/28","NGC 3389","0.00433,0.00722,0.00742,0.00749","18","Ia"
"SN2014dg","2014/09/11","UGC 2855","0.004","18","Ia"
"SN1983U","1983/11/04","NGC 3227","0.0038","18","Ia"
"SN1998D","1998/01/28","NGC 5440","0.00412,0.0123","18","Ia"
"SN2008ge","2008/10/08","NGC 1527","0.003916,0.004043","18","Ia-02cx"
"SN2015bp","2015/03/16","NGC 5839","0.004069","18.064","Ia"
"SN2007on","2007/11/05","NGC 1404","0.006494,0.006182","18.1","Ia"
"SN2018imd","2018/11/14","NGC 4697","0.00414","18.38","Ia"
"SN2021smj","2021/07/08","NGC 4411b","0.004243","18.839","Ia"
"SN2007af","2007/03/01","NGC 5584","0.005464,0.005464","19","Ia"
"SN2007le","2007/10/13","NGC 7721","0.006721,0.005522","19","Ia"
"SN2003gs","2003/07/29","NGC 936","0.00477","19","Ia Pec"
"SN1993L","1993/04/30","IC 5270","0.006616","19","Ia"
"SN1974J","1974/10/09","NGC 7343","0.0222","19","Ia"
"SN1956A","1956/03/08","NGC 3992","0.00514,0.00559","19","Ia"
"SN2004ab","2004/02/21","NGC 5054","0.0058,0.0058","19","Ia"
"SN2007gi","2007/07/31","NGC 4036","0.00482","19","Ia"
"SN1985A","1985/01/25","NGC 2748","0.0049","19","Ia"
"SN1990aj","1990/12/18","NGC 1640","0.005344","19","Ia/c"
"SN2011iy","2011/12/09","NGC 4984","0.0043","19.1","Ia"
"ASASSN-14gh","2014/08/28","SDSS J171509.41+414836.1","0.0044","19.5","Ia"
"SN1990N","1990/06/23","NGC 4639","0.003399,0.003395","19.7","Ia"
"SN2016coj","2016/05/28","NGC 4125","0.004483","19.908","Ia"
"SN1997br","1997/04/10","ESO 576-40","0.006941","20","Ia Pec"
"SN2007bm","2007/04/20","NGC 3672","0.006211,0.007441,0.006211","20","Ia"
"SN2008ha","2008/11/07","UGC 12682","0.004623","20","Ia Pec"
"SN2010ev","2010/06/27","NGC 3244","0.009211","20","Ia"
"SN1989M","1989/06/28","NGC 4579","0.00507","20","Ia"
"SN2019np","2019/01/09","NGC 3254","0.00452","20.07","Ia"
"SN1998aq","1998/04/13","NGC 3982","0.003699,0.003699","20.7","Ia"
"SN2003hv","2003/09/09","NGC 1201","0.005601,0.005624","20.7","Ia"
"SN2011B","2011/01/07","NGC 2655","0.00467","20.74","Ia"
"SN1996X","1996/04/12","NGC 5061","0.00689,0.00627,0.00629,0.00636,0.00749","21","Ia"
"SN2001bg","2001/05/08","NGC 2608","0.007122","21","Ia"
"SN2005cn","2005/06/19","NGC 5061","0.0068","21","Ia"
"SN1968I","1968/04/23","NGC 4981","0.0056","21","Ia"
"SN2011dm","2011/06/15","UGC 11861","0.0049","21.8","Ia"
"SN2003cg","2003/03/21","NGC 3169","0.00413","22","Ia"
"SN1962J","1962/08/28","NGC 6835","0.00729","22","Ia"
"SN1993R","1993/06/02","NGC 7742","0.0055","22","Ia/c"
"SN1994U","1994/06/27","NGC 4948","0.003749,0.003746","22","Ia"
"SN2010ey","2010/06/30","ESO 548-G76","0.005,0.005","22","Ia"
"SN2014ck","2014/06/29","UGC 12182","0.00497","22.08","Ia Pec"
"SN2011ek","2011/08/04","NGC 918","0.005027","22.333",".IaPec"
"SN2002bo","2002/03/09","NGC 3190","0.00424,0.00424,0.00529,0.00606,0.00609,0.00636","22.4","Ia"
"SN2002cv","2002/05/13","NGC 3190","0.00424,0.00424","22.4","Ia"
"SN2007sa","2007/11/21","NGC 3499","0.005077","22.556","Ia"
"ASASSN-14lp","2014/12/09","NGC 4666","0.005101","22.663","Ia"
"snhunt281","2015/03/16","NGC 5839","0.005124","22.766","Ia"
"SN1998dm","1998/08/22","MCG -01-04-44","0.006541,0.009006","23","Ia"
"SN1971L","1971/06/24","NGC 6384","0.00461,0.00665","23","Ia"
"SN2014dt","2014/10/29","M61","0.0052","23.1","Ia Pec"
"SN2017emq","2017/06/03","UGC 5369","0.005247","23.315","Ia"
"SN2018gv","2018/01/15","NGC 2525","0.005274","23.435","Ia"
"SN2017bzc","2017/03/07","NGC 7552","0.005365","23.841","Ia"
"SN2012fr","2012/10/27","NGC 1365","0.0054","24","Ia"
"SN2000E","2000/01/26","NGC 6951","0.00414,0.00475,0.00527,0.00541,0.00563,0.00606","24","Ia"
"SN2009Y","2009/02/01","NGC 5728","0.009316","24","Ia"
"SN1975N","1975/10/24","NGC 7723","0.00568,0.00881","24","Ia"
"SN2017fzw","2017/08/09","NGC 2217","0.0054","24","Ia-91bg"
"SN2015F","2015/03/09","NGC 2442","0.00541","24.04","Ia"
"SN2021jad","2021/04/11","NGC 1964","0.005534","24.595","Ia"
"SN2017drh","2017/05/03","NGC 6384","0.005554","24.685","Ia"
"SN2014bv","2014/06/18","NGC 4386","0.005594","24.863","Ia"
"PSN J11492548-0507138","2015/06/29","IC 2963","0.0056","24.9","Ia"
"SN2017igf","2017/11/12","NGC 3901","0.005624","24.997","Ia"
"SN2005cf","2005/05/28","MCG -01-39-03","0.006461,0.006461","25","Ia"
"SN2010ih","2010/09/29","NGC 2325","0.0072,0.0073","25","Ia"
"SN1982W","1982/12/14","NGC 5485","0.0066","25","Ia"
"SN1983P","1983/07/11","NGC 5746","0.0058","25","Ia"
"SN2001fu","2001/11/05","MCG -03-23-11","0.005651","25.118","Ia"
"SN2018aoz","2018/04/02","NGC 3923","0.005801","25.787","Ia"
"SN2014ba","2014/05/07","NGC 7410","0.0058","25.8","Ia-91bg"
"SN2020hvf","2020/04/21","NGC 3643","0.005838","25.952","Ia"
"ASASSN-15us","2015/12/29","NGC 7213","0.005839","25.957","Ia"
"SN1954B","1954/04/27","NGC 5668","0.00609","26","Ia"
"SN1993Z","1993/09/23","NGC 2775","0.00452,0.0045,0.0045","26","Ia"
"SN1997dt","1997/11/22","NGC 7448","0.007318","26","Ia"
"SN1994ae","1994/11/14","NGC 3370","0.004266","26.5","Ia"
"SN2011ae","2011/02/12","MCG -03-30-19","0.006046","26.881","Ia"
"SN2005ke","2005/11/13","NGC 1371","0.00488,0.004483,0.00449,0.00488","27","Ia Pec"
"SN1992G","1992/02/09","NGC 3294","0.00529,0.00629,0.00529","27","Ia"
"SN1995al","1995/11/01","NGC 3021","0.00514,0.00514,0.00577,0.00643,0.00661,0.00754,0.00756,0.00763,0.00788,0.00799","27","Ia"
"SN1996bk","1996/10/12","NGC 5308","0.00681","27","Ia"
"SN2016hsc","2016/09/19","","0.006","27","Ia"
"SN2002ka","2002/12/28","A093041-1446","0.006","27","Ia"
"SN1998bn","1998/04/17","NGC 4462","0.005981","27","Ia"
"SN2005dc","2005/07/26","NGC 7107","0.0073,0.0073","27","Ia"
"SN2005ec","2005/09/16","NGC 1690","0.02923","27","Ia"
"SN2008cq","2008/05/29","A142109-2915","0.006,0.006","27","Ia"
"PSN J22154081-4551086","2013/03/13","NGC 7232","0.006","27","Ia"
"SN1986O","1986/12/24","NGC 2227","0.0075","27","Ia"
"SN2019vsa","2019/11/28","IC 2995","0.006102","27.132","Ia"
"SN2021qxr","2021/06/24","IC 3383","0.006151","27.35","Ia"
"SN2017erp","2017/06/13","NGC 5861","0.006174","27.453","Ia"
"ASASSN-15hf","2015/04/17","ESO 375-G41","0.006178","27.471","Ia"
"SN1971G","1971/03/29","NGC 4165","0.00624,0.00953,0.00999,0.00786","27.75","Ia"
"SN2008fp","2008/09/11","ESO 428-G14","0.006287,0.005664","27.958","Ia"
"SN2000cx","2000/07/17","NGC 524","0.007929,0.008076","28","Ia Pec"
"SN2008Q","2008/01/26","NGC 524","0.007935","28","Ia"
"SN2007kg","2007/09/22","2MFGC 18005","0.0063,0.0067,0.0067","28","Ia"
"SN1987L","1987/08/16","NGC 2336","0.0073","28","Ia"
"SN2007cj","2007/05/03","IC 2531","0.0082,0.0082","28","Ia"
"SN2017enx","2017/06/06","ESO 92-G14","0.006398","28.454","Ia"
"SN1983W","1983/12/06","NGC 3625","0.00647,0.0065","28.78","Ia"
"SN2011iv","2011/12/02","NGC 1404","0.006494","28.883","Ia"
"SN2006bk","2006/04/03","MCG +06-33-20","0.0065","28.9","Ia"
"SN2004ea","2004/08/29","MCG -03-11-19","0.0065","28.9","Ia"
"SN1999gh","1999/12/03","NGC 2986","0.007679","29","Ia"
"SN1991F","1991/02/10","NGC 3458","0.0059","29","Ia"
"SN2001A","2001/01/01","NGC 4261","0.007469","29","Ia"
"SN2021apf","2021/01/16","CGCG 056-009","0.006531","29.048","Ia"
"SN2021tkm","2021/07/14","IC 4441","0.006535","29.066","Ia"
"ASASSN-15ga","2015/03/30","NGC 4866","0.006631","29.496","Ia"
"SN2012ei","2012/08/22","NGC 5611","0.006721","29.898","Ia"
"SN1995D","1995/02/10","NGC 2962","0.006561","30","Ia"
"SN2007ax","2007/03/21","NGC 2577","0.006861,0.007638","30","Ia Pec"
"SN1997bp","1997/04/06","NGC 4680","0.008309","30","Ia-HV"
"SN1996Z","1996/05/16","NGC 2935","0.00758,0.00763,0.00829","30","Ia"
"SN2010fz","2010/07/09","NGC 2967","0.0063,0.0063","30","Ia"
"SN2011at","2011/03/10","MCG -02-24-27","0.006758","30.063","Ia"
"SN2020jgl","2020/05/07","MCG -02-24-27","0.006758","30.063","Ia"
"SN2011eh","2011/07/20","NGC 3613","0.0068","30.3","Ia"
"asassn-15so","2015/11/08","NGC 3583","0.00686","30.52","Ia"
"SN1998dh","1998/07/20","NGC 7541","0.00897,0.00897,0.00881","31","Ia"
"SN2017hjy","2017/10/14","","0.007","31","Ia"
"SN1990U","1990/08/02","NGC 7479","0.007935","31","Ib"
"SN2014dv","2014/11/17","NGC 2501","0.007","31","Ia"
"SN2020wtq","2020/10/12","","0.007","31","Ia"
"ASASSN-19tr","2019/08/07","VV 525","0.007035","31.302","Ia-02cx"
"SN2012Z","2012/01/29","NGC 1309","0.007125","31.705","Ia Pec"
"ASASSN-15so","2015/11/08","NGC 3583","0.007125","31.705","Ia"
"SN2017dhr","2017/04/20","NGC 2076","0.007145","31.794","Ia"
"SN2003hx","2003/09/12","NGC 2076","0.007152","31.826","Ia"
"SN2002fk","2002/09/17","NGC 1309","0.007132,0.007125","32","Ia"
"SN1982B","1982/02/12","NGC 2268","0.00665,0.00727,0.00665","32","Ia"
"SN1976G","1976/10/21","NGC 488","0.0076","32","Ia?"
"SN2010eb","2010/06/12","NGC 488","0.0076,0.0076","32","Ia"
"SN2002hl","2002/11/04","NGC 3665","0.006831","32","Ia"
"SN1996aa","1996/05/16","NGC 5557","0.011","32","Ia"
"SN2000cm","2000/05/31","A121259+0718","0.0072","32","Ia"
"SN2010hg","2010/09/01","NGC 3001","0.0082,0.0082","32","Ia"
"SN2010hx","2010/09/16","NGC 3258","0.0093,0.0093","32","Ia"
"SN2020ftl","2020/04/02","NGC 4277","0.0073","32.5","Ia"
"SN2017jd","2017/01/09","IC 5334","0.007368","32.792","Ia"
"SN2003kf","2003/11/27","MCG -02-16-02","0.007388","32.882","Ia"
"SN1987D","1987/04/20","MCG +00-32-01","0.0074","32.9","Ia"
"SN2013gr","2013/11/28","ESO 114-G7","0.0074","32.9","Ia Pec"
"SN2008cd","2008/04/29","NGC 5038","0.007412","32.989","Ia"
"SN2003du","2003/04/22","UGC 9391","0.006381","33","Ia"
"SN2009ig","2009/08/20","NGC 1015","0.00829,0.00885,0.00877","33","Ia"
"SN2005am","2005/02/22","NGC 2811","0.007899,0.008967,0.007899","33","Ia"
"SN2008fw","2008/09/19","NGC 3261","0.0084,0.0085","33","Ia"
"SN2010bv","2010/04/19","ESO 533-G4","0.0086,0.0087","33","Ia"
"SN2004eq","2004/07/30","ESO 404-G12","0.00884","33.3","Ia"
"SN2015I","2015/05/02","NGC 2357","0.007589","33.781","Ia"
"SN2007cv","2007/06/29","IC 2597","0.0076","33.8","Ia"
"AT2015dc","2015/10/20","IC 2597","0.0076","33.8","Ia"
"SN2018ghb","2018/09/14","ESO 427-G22","0.007595","33.808","Ia"
"SN2018isq","2018/11/20","NGC 1184","0.007599","33.826","Ia"
"SN2020xtz","2020/10/21","NGC 6574","0.007612","33.884","Ia"
"SN1999ac","1999/02/26","NGC 6063","0.00944,0.0115","34","Ia Pec"
"SN2002er","2002/08/23","UGC 10743","0.008569","34","Ia"
"SN2004bv","2004/05/24","NGC 6907","0.01061","34","Ia"
"SN2005W","2005/02/01","NGC 691","0.008889","34","Ia"
"SN2006dy","2006/07/25","NGC 5587","0.007679","34.184","Ia"
"SN2017fgc","2017/07/11","NGC 0474","0.007722","34.377","Ia"
"SN2019ein","2019/05/01","NGC 5353","0.007755","34.525","Ia Pec"
"SN2011jh","2011/12/22","NGC 4682","0.0078","34.7","Ia"
"SN1987N","1987/12/14","NGC 7606","0.0074","35","Ia"
"SN1998cn","1998/06/17","NGC 3735","0.0093","35","Ia"
"SN2002ge","2002/10/07","NGC 7400","0.01","35","Ia"
"SN1991B","1991/01/11","NGC 5426","0.008579","35","Ia"
"SN2004do","2004/08/04","NGC 6708","0.0086","35","Ia"
"SN2009mz","2009/12/26","NGC 5426","0.008579","35","Ia"
"SN2013cg","2013/05/06","NGC 2891","0.007952","35.407","Ia"
"SN2020abgq","2020/11/30","NGC 4454","0.008029","35.752","Ia"
"SN2012hr","2012/12/16","ESO 121-G26","0.008","36","Ia"
"SN1998dg","1998/07/19","MCG -03-34-08","0.0081","36.1","Ia"
"SN2018yu","2018/03/01","NGC 1888","0.008112","36.124","Ia"
"SN2014D","2014/01/02","UGC 7170","0.008179","36.424","Ia"
"SN2020uxz","2020/10/05","NGC 514","0.008246","36.724","Ia"
"SN2002cr","2002/05/01","NGC 5468","0.00948,0.00948,0.0103","37","Ia"
"SN2002dj","2002/06/12","NGC 5018","0.009393","37","Ia"
"SN1999cp","1999/06/18","NGC 5468","0.00948,0.0104,0.00948,0.00926,0.00994,0.0105","37","Ia"
"SN2005cc","2005/05/19","NGC 5383","0.0074","37","Ia-02cx"
"SN2008hy","2008/12/06","IC 334","0.008459","37","Ia"
"SN1989A","1989/01/19","NGC 3687","0.008359","37","Ia"
"SN1983R","1983/09/18","IC 1731","0.012","37","Ia"
"SN2005P","2005/01/21","NGC 5468","0.00948","37","Ia-02cx"
"SN1994aa","1994/09/14","NGC 1320","0.0095","37","Ia"
"SN2021jag","2021/04/11","NGC 4108","0.008382","37.334","Ia"
"SN1998es","1998/11/13","NGC 632","0.01057,0.01057","37.4","Ia Pec"
"SN2017gxq","2017/09/17","NGC 4964","0.008406","37.441","Ia"
"SN2020scc","2020/08/20","NGC 2782","0.008483","37.787","Ia"
"SN2006D","2006/01/11","MCG -01-33-34","0.008529,0.009641,0.008526","37.993","Ia"
"SN2004S","2004/02/03","MCG -05-16-21","0.00937,0.00937,0.00901","38","Ia"
"SN2005bo","2005/04/17","NGC 4708","0.015013,0.013896","38","Ia"
"SN1991M","1991/03/12","IC 1151","0.007235","38","Ia"
"SN1990M","1990/06/15","NGC 5493","0.00904","38","Ia"
"SN2010bp","2010/04/13","ESO 221-G32","0.0097,0.0097","38","Ia"
"SN1976D","1976/08/25","NGC 5427","0.0091","38","Ia"
"PTF10icb","2010/05/30","MCG +10-19-01","0.008544","38.06","Ia"
"SN1995E","1995/02/20","NGC 2441","0.01158,0.01158","38.1","Ia"
"SN2011ce","2011/04/19","NGC 6708","0.0086","38.3","Ia-02cx"
"SN1997bq","1997/04/07","NGC 3147","0.00941,0.00926,0.0109","38.4","Ia"
"SN2008fv","2008/09/27","NGC 3147","0.0094,0.0099","38.4","Ia"
"SN2009ag","2009/02/18","ESO 492-G2","0.00864","38.49","Ia"
"SN2016eiy","2016/07/26","ESO 509-IG64","0.008663","38.594","Ia"
"SN2018htt","2018/10/31","NGC 1209","0.008673","38.638","Ia"
"SN2018ata","2018/04/10","NGC 4614","0.008673","38.638","Ia"
"SN2021pfs","2021/06/09","NGC 5427","0.008733","38.908","Ia"
"SN2020kyg","2020/05/24","NGC 5012","0.008736","38.921","Ia-02cx"
"SN2010ko","2010/12/05","NGC 1954","0.0104","39","Ia"
"SN2005dv","2005/09/04","NGC 5283","0.010404","39","Ia"
"SN2009ik","2009/08/22","NGC 4653","0.0088,0.0088","39","Ia"
"SN2013gh","2013/08/08","NGC 7183","0.0088","39.2","Ia"
"SN2020unm","2020/09/30","NGC 2856","0.008799","39.204","Ia"
"SN2017gah","2017/08/10","NGC 7187","0.008906","39.683","Ia"
"SN1996bt","1996/11/10","A065157+1617","0.008923,0.008923","39.76","Ia"
"SN2013cs","2013/05/14","ESO 576-G17","0.009","40","Ia"
"SN2013aj","2013/03/03","NGC 5339","0.009","40","Ia"
"SN2016gwl","2016/10/02","NGC 2865","0.009","40","Ia"
"SN2012gl","2012/10/29","NGC 3153","0.009","40","Ia"
"SN2018pc","2018/02/03","UGC 5049","0.009","40","Ia"
"SN2006aw","2006/03/15","ESO 85-G38","0.016","40","Ia"
"PSN J17194328-7721305","2013/08/25","ESO 44-G10","0.009","40","Ia"
"PSN J1719","2013/08/30","","0.009","40","Ia"
"SN2019yvq","2019/12/28","NGC 4441","0.00908","40.46","Ib/c"
"SN1998em","1998/10/26","IC 4837A","0.0095,0.0091","40.6","Ia"
"SN2020ga","2020/01/05","NGC 5333","0.00917,0.00918","40.87","Ia"
"SN2002jo","2002/12/11","NGC 5708","0.00918,0.00904,0.0092","40.91","Ia"
"SN1999ee","1999/10/07","IC 5179","0.01141,0.01141","41","Ia"
"SN2004bd","2004/04/07","NGC 3786","0.00893","41","Ia"
"SN1999cw","1999/06/28","MCG -01-02-01","0.01237","41","Ia"
"SN1998dq","1998/08/23","NGC 6754","0.011,0.011","41","Ia"
"SN2000do","2000/09/30","NGC 6754","0.011,0.011","41","Ia"
"SN2004fu","2004/11/04","NGC 6949","0.00921","41.05","Ia"
"SN2009an","2009/02/27","NGC 4332","0.009228","41.128","Ia"
"SN2013eu","2013/08/11","UGC 5609","0.009266","41.299","Ia"
"SN1998bp","1998/04/29","NGC 6495","0.01043,0.01043","41.3","Ia"
"SN2021pkz","2021/06/11","NGC 4799","0.009316","41.523","Ia"
"SN2021hpr","2021/04/02","NGC 3147","0.009346","41.658","Ia"
"SN2020spq","2020/09/05","ESO 427-G6","0.00936","41.72","Ia"
"SN2017cjt","2017/03/20","PGC 135685","0.009376","41.793","Ia"
"SN2017isq","2017/12/04","NGC 5018","0.009393","41.869","Ia"
"SN2021fxy","2021/03/17","NGC 5018","0.009393","41.869","Ia"
"asassn-15db","2015/02/15","NGC 5996","0.0094","41.9","Ia"
"SN2013E","2013/01/04","IC 2532","0.009413","41.959","Ia"
"SN1992K","1992/03/03","ESO 269-G57","0.01036","42","Ia"
"SN2002bs","2002/03/11","IC 4221","0.00964","42.98","Ia"
"SN1986A","1986/02/04","NGC 3367","0.01","43","Ia"
"SN2003aa","2003/01/31","NGC 3367","0.01,0.01","43","Ic"
"SN2016gsb","2016/09/29","ESO 555-G29","0.00965","43.02","Ia"
"SN2021mxx","2021/05/22","UGC 11380","0.00965","43.02","Ia"
"SN2020ejm","2020/03/11","IC 2560","0.009757","43.503","Ia"
"SN2017cyy","2017/04/12","ESO 91-G15","0.009777","43.593","Ia"
"SN2001ch","2001/05/28","MCG -01-54-16","0.0098,0.0098","43.7","Ic"
"SN2018cqw","2018/06/18","CGCG 113-034","0.009843","43.89","Ia"
"SN2017ejb","2017/05/28","NGC 4696","0.009867","43.998","Ia-91bg"
"SN2006bh","2006/04/02","NGC 7329","0.010493,0.010847,0.010493","44","Ia"
"SN1959C","1959/06/28","MCG +01-34-05","0.00897,0.00944,0.0122","44","Ia"
"SN1997do","1997/10/31","UGC 3845","0.01012,0.01012","44","Ia"
"SN2009I","2009/01/13","NGC 1080","0.0262","44","Ia"
"SN2017ckq","2017/03/23","ESO 437-G56","0.009893","44.114","Ia"
"ASASSN-15kk","2015/06/05","UGC 4883","0.009893","44.114","Ia"
"SN2018xx","2018/02/21","NGC 4767","0.00999","44.55","Ia"
"SN2009J","2009/01/13","IC 2160","0.0158","45","Ia-02cx"
"SN2019wcj","2019/11/30","","0.01","45","Ia"
"SN2020yvu","2020/11/04","","0.01","45","Ia"
"SN2019gth","2019/06/03","2MASX J15523130-1519556","0.01","45","Ia"
"SN2017gbb","2017/08/09","IC 438","0.01","45","Iax[02cx-like]"
"SN1991X","1991/05/05","NGC 4902","0.0088","45","Ia"
"SN2008fh","2008/08/30","A032018+4121","0.01,0.01","45","Ia"
"SN2009iw","2009/09/15","IC 2160","0.0159","45","Ia"
"PTF10xgp","2010/10/03","","0.01","45","Ia"
"PSN J23374322-4730393","2015/08/17","ESO 240-G10","0.01","45","Ia"
"SN2019bua","2019/03/14","","0.01","45","Ia-91T"
"SN2021wuf","2021/08/23","NGC 6500","0.01","45","Ia"
"SN2010lp","2010/12/29","NGC 1137","0.0101","45.04","Ia"
"SN2017iyb","2017/12/16","ESO 425-G10","0.010108","45.0804","Ia"
"SN2019swh","2019/10/06","ESO 428-G23","0.010124","45.1523","Ia"
"SN2018kp","2018/01/24","NGC 3367","0.010142","45.2332","Ia"
"SN1991ak","1991/07/15","NGC 5378","0.01015","45.269","Ia"
"SN2016brx","2016/04/19","NGC 7391","0.010167","45.3456","Ia-91bg"
"SN2012dn","2012/07/08","ESO 462-G16","0.010187","45.4355","Ia"
"SN2012ea","2012/08/08","NGC 6430","0.0102","45.49","Ia"
"SN2010B","2010/01/07","NGC 5370","0.0102","45.49","Ia"
